Desc,Part Number,Circ Ref,DK PN,Link
IC MCU 32BIT 1MB FLASH 64LQFP,STM32F405RGT6TR,IC1,497-17432-1-ND,https://www.digikey.com/products/en/integrated-circuits-ics/embedded-microcontrollers/685?k=stm32f4&k=&pkeyword=stm32f4&pv1291=821&FV=ffe002ad%2C1c0002%2C23c0167&quantity=0&ColumnSort=0&page=1&pageSize=25
IC REG BCK BST 3.3V 0.5A HOTROD,TPS63051RMWR,IC3,296-42650-1-ND,https://www.digikey.com/product-detail/en/texas-instruments/TPS63051RMWR/296-42650-1-ND/5455915
IC RECEIVER GPS/GNSS 24LCC,NEO-M8Q-0,IC2,672-1009-1-ND,https://www.digikey.com/product-detail/en/u-blox-america-inc/NEO-M8Q-0/672-1009-1-ND/6150672
SENSOR PRESSURE HUMIDITY TEMP,BME280,IC4,828-1063-1-ND,https://www.digikey.com/product-detail/en/bosch-sensortec/BME280/828-1063-1-ND/6136314
,,,,
CONN MINI USB RCPT RA TYPE B SMD,,J1,690-005-299-043,https://www.digikey.com/product-detail/en/edac-inc/690-005-299-043/151-1206-1-ND/4312192
CONN HEADER 2POS 3MM RT ANG GOLD,436500201,J2,WM1865-ND,https://www.digikey.com/product-detail/en/molex-llc/0436500201/WM1865-ND/268994
,,J3,,
CONN SMA RCPT STR 50OHM EDGE MNT,732511150,"J4, J5",WM5534-ND,https://www.digikey.com/product-detail/en/molex-llc/0732511150/WM5534-ND/1465156
,,,,
FIXED IND 2.2UH 4.3A 48 MOHM SMD,PA4332.222NLT,,553-3290-1-ND,https://www.digikey.com/product-detail/en/pulse-electronics-power/PA4332.222NLT/553-3290-1-ND/5879016
,,,,
CAP CER 0.1UF 16V Y5V 0603,C0603C104Z4VACTU,"C2, C3, C4, C5, C6, C7, C12, C13, C14, C17, C23, C25, C26, C32",399-1098-1-ND,https://www.digikey.com/product-detail/en/kemet/C0603C104Z4VACTU/399-1098-1-ND/411373
CAP CER 10UF 25V X5R 0805 ,GRM21BR61E106KA73L,"C10, C11, C16, C28, C36, C37, C38", 490-5523-1-ND ,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM21BR61E106KA73L/490-5523-1-ND/2334919
CAP TANT 10UF 10V 20% 1206,TPSA106M010R0900,"C1, C24",478-9034-1-ND,https://www.digikey.com/product-detail/en/avx-corporation/TPSA106M010R0900/478-9034-1-ND/4561900
CAP CER 22PF 50V C0G/NP0 0603,C0603C220J5GACTU,C22,399-1053-1-ND,https://www.digikey.com/product-detail/en/kemet/C0603C220J5GACTU/399-1053-1-ND/411328
CAP CER 4.7UF 16V X5R 0805 ,C0805C475K4PACTU,C15, 399-8101-1-ND ,https://www.digikey.com/product-detail/en/kemet/C0805C475K4PACTU/399-8101-1-ND/3471824
CAP CER 2.2UF 10V X5R 0805,CC0805KRX5R6BB225,"C18, C19",311-3425-1-ND,https://www.digikey.com/product-detail/en/yageo/CC0805KRX5R6BB225/311-3425-1-ND/7164446
CAP CER 22UF 25V X7R 1210,GRM32ER71E226KE15L,"C30, C29",490-5313-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM32ER71E226KE15L/490-5313-1-ND/2039092
CAP CER 1UF 6.3V X5R 0603,C0603C105K9PACTU,"C8, C9",399-7848-1-ND,https://www.digikey.com/product-detail/en/kemet/C0603C105K9PACTU/399-7848-1-ND/3471571
CAP CER 16PF 50V NPO 0603,CC0603JRNPO9BN160,"C20, C21",311-3964-1-ND,https://www.digikey.com/product-detail/en/yageo/CC0603JRNPO9BN160/311-3964-1-ND/8025053
